ts,elapsed_s,rss_kb,fd,cpu_pct,threads,minflt,majflt,vctx,nvctx,tcp_est,tcp_tw,tcp_cw,sock_orphan,sock_alloc,sock_mem,lat_p50_us,lat_p99_us,active,hs_inflight,accepted,opened,rejected,closed,hs_timeout,bp_close,proto_err,utf8_err,too_large,panic
1781045532,300,7644,9011,254.1,6,1478,0,1,0,9000,0,0,0,18176,17171,782,28655,9100,0,144100,144100,0,135000,0,0,0,0,0,0
1781045834,602,7704,9011,250.9,6,1494,0,1,0,9000,0,0,0,18215,18725,29531,45277,9100,0,279200,279200,0,270100,0,0,0,0,0,0
1781046136,904,7736,9011,226.6,6,1620,0,1,0,9000,0,0,0,18179,18559,26028,47430,9100,0,414300,414300,0,405200,0,0,0,0,0,0
1781046439,1207,7732,9011,250.6,6,1689,0,1,0,9000,0,0,0,18172,17771,24818,33313,9100,0,549400,549400,0,540300,0,0,0,0,0,0
1781046741,1509,7516,9011,247.2,6,1690,0,1,0,9000,0,0,0,18170,18216,26808,47945,9100,0,684500,684500,0,675400,0,0,0,0,0,0
1781047043,1811,7752,9011,229.3,6,1811,0,1,0,9000,0,0,0,18169,17888,27236,36883,9100,0,819600,819600,0,810500,0,0,0,0,0,0
1781047345,2113,7588,9011,242.6,6,1880,0,1,0,9000,0,0,0,18167,18316,24806,31990,9100,0,954700,954700,0,945600,0,0,0,0,0,0
1781047647,2415,7584,9011,254.5,6,1898,0,1,0,9000,0,0,0,18169,18119,26896,85283,9100,0,1089800,1089800,0,1080700,0,0,0,0,0,0
1781047950,2718,7344,9011,248.7,6,1980,0,1,0,9000,0,0,0,18184,18990,37309,99999,9100,0,1224900,1224900,0,1215800,0,0,0,0,0,0
1781048252,3020,7348,9011,244.2,6,1981,0,1,0,9000,0,0,0,18169,17653,23501,34241,9100,0,1360000,1360000,0,1350900,0,0,0,0,0,0
1781048554,3322,7348,9011,255.5,6,1981,0,1,0,9000,0,0,0,18157,18071,22912,34294,9100,0,1495100,1495100,0,1486000,0,0,0,0,0,0
1781048856,3624,7348,9011,255.2,6,1986,0,1,0,9000,0,0,0,18152,18440,1963,30510,9100,0,1639200,1639200,0,1630100,0,0,0,0,0,0
1781049158,3926,7348,9011,255.2,6,1992,0,1,0,9000,0,0,0,18154,17254,22302,32771,9100,0,1774300,1774300,0,1765200,0,0,0,0,0,0
1781049460,4228,7348,9011,255.3,6,2000,0,1,0,9000,0,0,0,18159,16656,24785,33909,9100,0,1909400,1909400,0,1900300,0,0,0,0,0,0
1781049762,4530,7416,9011,225.8,6,2116,1,1,0,9000,0,0,0,18154,16305,33744,92398,9100,0,2044500,2044500,0,2035400,0,0,0,0,0,0
1781050065,4833,7500,9011,222.0,6,2195,1,1,0,9000,0,0,0,18157,16967,21640,29894,9100,0,2179600,2179600,0,2170500,0,0,0,0,0,0
1781050367,5135,7512,9011,254.5,6,2209,1,1,0,9000,0,0,0,18155,16986,22926,28191,9100,0,2314700,2314700,0,2305600,0,0,0,0,0,0
1781050669,5437,7500,9011,247.3,6,2316,1,1,0,9000,0,0,0,18156,18284,22684,31517,9100,0,2449800,2449800,0,2440700,0,0,0,0,0,0
1781050971,5739,7508,9011,250.8,6,2318,1,1,0,9000,0,0,0,18157,16762,21063,29074,9100,0,2584900,2584900,0,2575800,0,0,0,0,0,0
1781051273,6041,7504,9011,255.8,6,2353,2,1,0,9000,0,0,0,18153,16506,22434,27741,9100,0,2720000,2720000,0,2710900,0,0,0,0,0,0
1781051575,6343,7504,9011,255.7,6,2389,2,1,0,9000,0,0,0,18155,17279,22780,30382,9100,0,2855100,2855100,0,2846000,0,0,0,0,0,0
1781051878,6646,7504,9011,244.5,6,2502,45,1,0,9000,0,0,0,18205,18759,22718,35370,9100,0,2990200,2990200,0,2981100,0,0,0,0,0,0
1781052180,6948,7560,9011,249.7,6,2578,46,1,0,9000,0,0,0,18201,19410,23729,42929,9100,0,3125300,3125300,0,3116200,0,0,0,0,0,0
1781052482,7250,7516,9011,234.8,6,2618,46,1,0,9000,0,0,0,18188,18976,402,33431,9100,0,3269400,3269400,0,3260300,0,0,0,0,0,0
1781052784,7552,7516,5261,222.6,6,2689,46,1,0,6501,0,0,0,15882,12324,25126,32864,9100,0,3404500,3404500,0,3395400,0,0,0,0,0,0
1781053086,7854,7516,9011,226.7,6,2728,68,1,0,9000,0,0,0,18193,18713,35368,64628,9100,0,3539600,3539600,0,3530500,0,0,0,0,0,0
1781053388,8156,7516,9011,215.8,6,2728,68,1,0,9000,0,0,0,18183,18155,27914,47740,9100,0,3674700,3674700,0,3665600,0,0,0,0,0,0
1781053691,8459,7652,9011,223.5,6,2780,68,1,0,9000,0,0,0,18180,18654,27759,69155,9100,0,3809800,3809800,0,3800700,0,0,0,0,0,0
1781053993,8761,7572,9011,221.1,6,2960,68,1,0,9000,0,0,0,18193,17622,31378,55635,9100,0,3944900,3944900,0,3935800,0,0,0,0,0,0
1781054295,9063,7572,9011,221.6,6,2977,68,1,0,9000,0,0,0,18178,19137,32720,68757,9100,0,4080000,4080000,0,4070900,0,0,0,0,0,0
1781054597,9365,7632,9011,203.2,6,3058,68,1,0,9000,0,0,0,18178,17261,39842,83123,9100,0,4215100,4215100,0,4206000,0,0,0,0,0,0
1781054900,9668,7572,9011,213.9,6,3467,68,1,0,9000,0,0,0,18181,19051,29204,68161,9100,0,4350200,4350200,0,4341100,0,0,0,0,0,0
1781055202,9970,7624,9011,213.9,6,3730,68,1,0,9000,0,0,0,18179,16189,37270,99999,9100,0,4485300,4485300,0,4476200,0,0,0,0,0,0
1781055504,10272,7680,9011,204.5,6,3980,68,1,0,9000,0,0,0,18177,14093,30420,99999,9100,0,4620400,4620400,0,4611300,0,0,0,0,0,0
1781055806,10574,7788,9011,231.8,6,4405,128,1,0,9000,0,0,0,18195,17922,24348,54982,9100,0,4755500,4755500,0,4746400,0,0,0,0,0,0
1781056109,10877,8436,9011,198.1,6,5119,131,1,0,9000,0,0,0,18180,18131,22139,47927,9100,0,4890600,4890600,0,4881500,0,0,0,0,0,0
1781056411,11179,7612,9011,204.6,6,5582,131,1,0,9000,0,0,0,18200,17080,51490,99999,9100,0,5025700,5025700,0,5016600,0,0,0,0,0,0
1781056713,11481,7700,9011,212.2,6,5772,131,1,0,9000,0,0,0,18185,18596,30911,71498,9100,0,5160800,5160800,0,5151700,0,0,0,0,0,0
1781060195,14963,7616,9011,21.7,6,5827,132,5,0,9000,0,0,3,18149,17062,25360,37764,9100,0,5304900,5304900,0,5295800,0,0,0,0,0,0
1781060497,15265,7616,9011,257.0,6,5827,132,5,0,9000,0,0,0,18142,17064,26782,30910,9100,0,5440000,5440000,0,5430900,0,0,0,0,0,0
1781060799,15567,7664,9011,256.9,6,5893,132,5,0,9000,0,0,0,18146,17067,24586,32054,9100,0,5575100,5575100,0,5566000,0,0,0,0,0,0
1781061101,15869,7656,9011,257.0,6,6123,132,5,0,9000,0,0,1,18143,16300,25042,35245,9100,0,5710200,5710200,0,5701100,0,0,0,0,0,0
1781061404,16172,7664,9011,256.0,6,6327,132,5,0,9000,0,0,0,18142,17334,26395,32222,9100,0,5845300,5845300,0,5836200,0,0,0,0,0,0
1781061706,16474,7616,9011,256.9,6,6332,132,5,0,9000,0,0,0,18144,16823,26259,29196,9100,0,5980400,5980400,0,5971300,0,0,0,0,0,0
1781062008,16776,7616,9011,256.9,6,6332,132,5,0,9000,0,0,0,18142,17077,600,31850,9100,0,6124500,6124500,0,6115400,0,0,0,0,0,0
1781062311,17079,7616,9011,256.3,6,6332,132,5,0,9000,0,0,0,18140,16058,23050,32976,9100,0,6259600,6259600,0,6250500,0,0,0,0,0,0
1781062613,17381,7616,9011,256.9,6,6335,132,5,0,9000,0,0,0,18141,16568,25000,31819,9100,0,6394700,6394700,0,6385600,0,0,0,0,0,0
